Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,Rhat,ESS
b_Intercept,1.4977867585961735,0.95,0.880827944496493,2.1670912003412703,1,0.95,-0.1813799364234218,0.1813799364234218,0,1.0001791897453574,3227.0462879490865
b_choiceHard,-2.9929469830812248,0.95,-3.899101616305404,-2.1006045501297552,1,0.95,-0.1813799364234218,0.1813799364234218,0,1.0000050894337833,3122.156294537553
b_timeFuture,-1.1490977483415983,0.95,-1.9656858144008744,-0.3800782847715653,0.9985,0.95,-0.1813799364234218,0.1813799364234218,0,1.0006362798704618,3178.5144261675264
b_choiceHard:timeFuture,2.312004939786905,0.95,1.1828953982707906,3.4295161874242766,1,0.95,-0.1813799364234218,0.1813799364234218,0,1.0002729063271134,2770.0861521508323
