difficulty,attractiveness,Mean,Median.1,CI_low,CI_high,pd
Hard,Interesting,2.54423031982686,2.54423031982686,2.2390719139825954,2.865583583819369,1
Easy,Interesting,1.9953045549833135,1.9953045549833135,1.6820969055063206,2.3273842599819328,1
Hard,Boring,3.5947923088741245,3.5947923088741245,3.278925927789331,3.9238033135998354,1
Easy,Boring,3.0854106349500077,3.0854106349500077,2.7660948063284727,3.4056069435555356,1
