difficulty,attractiveness,Coefficient,Median.1,CI_low,CI_high,pd
Easy,Boring,-0.04596557579294114,-0.04596557579294114,-0.08709053961599408,-0.0033062096227238344,0.997875
Hard,Boring,0.09941789984208071,0.09941789984208071,0.027429789428396703,0.17032028952060727,0.999875
Easy,Interesting,-0.09303086784242964,-0.09303086784242964,-0.14459526148428353,-0.03902632305872799,1
Hard,Interesting,0.07064334407095885,0.07064334407095885,0.027932769413154552,0.11382321228312066,1
