"sample_size","power"
50,0.30055458649926
60,0.357181529565333
70,0.412934140467594
80,0.467000383561751
90,0.5187505249178
100,0.567720942582187
110,0.613594856122733
120,0.656181769005981
130,0.695396963352587
140,0.731241938066449
150,0.763786398490885
160,0.793152134620983
170,0.819498951131223
180,0.843012656948538
190,0.863895048938499
200,0.882355739755374
210,0.898605653043059
220,0.912851993138497
230,0.925294476503473
240,0.936122643705144
250,0.945514059201883
260,0.95363323643396
270,0.960631139291008
280,0.966645135520622
290,0.971799282849904
300,0.976204867897091
