choice,time,prob,lower.HPD,upper.HPD
Easy,Tomorrow,0.8172441469545182,0.6795774817760359,0.9267739710966344
Hard,Tomorrow,0.1855274343580824,0.08530782743910498,0.3224147652023693
Easy,Future,0.5854639251529371,0.4400047573307909,0.7232397195092266
Hard,Future,0.41492485594267464,0.2806170778144771,0.5641290278523581
